ACURA,ILX,N/A,SCV-7,2WD,Gasoline,small car,38,2013
MOBILITY,VENTURES,MV-1    ,Auto-4,2WD,CNG,special purpose,13,2014
MOBILITY,VENTURES,MV-1    ,Auto-4,2WD,CNG,special purpose,13,2015
VEHICLE,PRODUCTION,GROUP MV-1   ,Auto-4,2WD,CNG,special purpose,14,2013
HONDA,Civic,N/A,Auto-5,2WD,CNG,small car,31,2013
HONDA,Civic,N/A,Auto-5,2WD,CNG,small car,31,2014
HONDA,Civic,N/A,Auto-5,2WD,CNG,small car,31,2015
RAM,2500,N/A,Auto-6,4WD,CNG/Gasoline,pickup,0,2013
RAM,2500,N/A,Auto-6,4WD,CNG/Gasoline,pickup,0,2014
RAM,2500,N/A,Auto-6,4WD,CNG/Gasoline,pickup,0,2015
CHEVROLET,Cab,Chassis 35   ,Auto-6,4WD,Diesel,pickup,0,2013
CHEVROLET,Cab,Chassis 35   ,Auto-6,2WD,Diesel,pickup,0,2013
CHEVROLET,Silverado,25,Auto-6,4WD,Diesel,pickup,0,2013
CHEVROLET,Silverado,25,Auto-6,2WD,Diesel,pickup,0,2013
CHEVROLET,Silverado,35,Auto-6,4WD,Diesel,pickup,0,2013
CHEVROLET,Silverado,35,Auto-6,2WD,Diesel,pickup,0,2013
DODGE,Sprinter,2500 CDI   ,Auto-5,2WD,Diesel,van,0,2013
DODGE,Sprinter,3500 CDI   ,Auto-5,2WD,Diesel,van,0,2013
DODGE,Sprinter,3500 CDI   ,Auto-5,2WD,Diesel,special purpose,0,2013
FORD,F250,N/A,SemiAuto-6,4WD,Diesel,pickup,0,2013
FORD,F250,N/A,SemiAuto-6,4WD,Diesel,special purpose,0,2013
FORD,F250,N/A,SemiAuto-6,2WD,Diesel,pickup,0,2013
FORD,F250,N/A,SemiAuto-6,2WD,Diesel,special purpose,0,2013
FORD,F350,N/A,SemiAuto-6,4WD,Diesel,pickup,0,2013
FORD,F350,N/A,SemiAuto-6,4WD,Diesel,special purpose,0,2013
FORD,F350,N/A,SemiAuto-6,2WD,Diesel,pickup,0,2013
FORD,F350,N/A,SemiAuto-6,2WD,Diesel,special purpose,0,2013
FORD,F450,4X4    ,SemiAuto-6,4WD,Diesel,pickup,0,2013
FREIGHTLINER,2500,N/A,Auto-5,2WD,Diesel,van,0,2013
FREIGHTLINER,3500,N/A,Auto-5,2WD,Diesel,van,0,2013
FREIGHTLINER,3500,N/A,Auto-5,2WD,Diesel,special purpose,0,2013
GMC,Cab,Chassis 35   ,Auto-6,4WD,Diesel,pickup,0,2013
GMC,Cab,Chassis 35   ,Auto-6,2WD,Diesel,pickup,0,2013
GMC,Sierra,25,Auto-6,4WD,Diesel,pickup,0,2013
GMC,Sierra,25,Auto-6,2WD,Diesel,pickup,0,2013
GMC,Sierra,35,Auto-6,4WD,Diesel,pickup,0,2013
GMC,Sierra,35,Auto-6,2WD,Diesel,pickup,0,2013
ISUZU,NPR,N/A,Auto-6,2WD,Diesel,special purpose,0,2013
RAM,2500,N/A,Auto-6,4WD,Diesel,pickup,0,2013
RAM,2500,N/A,Auto-6,2WD,Diesel,pickup,0,2013
RAM,2500,N/A,Man-6,4WD,Diesel,pickup,0,2013
RAM,2500,N/A,Man-6,2WD,Diesel,pickup,0,2013
RAM,3500,N/A,Auto-6,4WD,Diesel,pickup,0,2013
RAM,3500,N/A,Auto-6,2WD,Diesel,pickup,0,2013
RAM,3500,N/A,Man-6,4WD,Diesel,pickup,0,2013
RAM,3500,N/A,Man-6,2WD,Diesel,pickup,0,2013
CHEVROLET,Cab,Chassis C35   ,Auto-6,2WD,Diesel,pickup,0,2014
CHEVROLET,Cab,Chassis K35   ,Auto-6,4WD,Diesel,pickup,0,2014
CHEVROLET,Silverado,25,Auto-6,4WD,Diesel,standard SUV,0,2014
CHEVROLET,Silverado,25,Auto-6,2WD,Diesel,standard SUV,0,2014
CHEVROLET,Silverado,35,Auto-6,4WD,Diesel,pickup,0,2014
CHEVROLET,Silverado,35,Auto-6,2WD,Diesel,pickup,0,2014
FORD,F250,N/A,SemiAuto-6,4WD,Diesel,pickup,0,2014
FORD,F250,N/A,SemiAuto-6,4WD,Diesel,special purpose,0,2014
FORD,F250,N/A,SemiAuto-6,2WD,Diesel,pickup,0,2014
FORD,F250,N/A,SemiAuto-6,2WD,Diesel,special purpose,0,2014
FORD,F350,N/A,SemiAuto-6,4WD,Diesel,pickup,0,2014
FORD,F350,N/A,SemiAuto-6,4WD,Diesel,special purpose,0,2014
FORD,F350,N/A,SemiAuto-6,2WD,Diesel,pickup,0,2014
FORD,F350,N/A,SemiAuto-6,2WD,Diesel,special purpose,0,2014
FORD,F450,4X4    ,SemiAuto-6,4WD,Diesel,pickup,0,2014
FREIGHTLINER,2500,N/A,Auto-7,2WD,Diesel,van,0,2014
FREIGHTLINER,2500,N/A,Auto-5,2WD,Diesel,van,0,2014
FREIGHTLINER,3500,N/A,Auto-7,2WD,Diesel,van,0,2014
FREIGHTLINER,3500,N/A,Auto-7,2WD,Diesel,special purpose,0,2014
